Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor usado (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios
[JUL]_[N]_Vídeo_Ranger/Territory,2026-07-30,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,11.27,8033,7553,7,1.61,Cliques no link,7,1.61,2026-07-30,2026-07-30
[JUL]_[N]_Vídeo_Ranger/Territory,2026-07-29,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,10.78,8013,7399,,,,,,2026-07-29,2026-07-29
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-29,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,5.83,4358,4311,1,5.83,Cliques no link,1,5.83,2026-07-29,2026-07-29
[JUL]_[N]_Vt_Condição,2026-07-29,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,11.03,8123,7163,2,5.515,Cliques no link,2,5.515,2026-07-29,2026-07-29
[JUL]_[N]_Card_Oferta,2026-07-29,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,44.04,34838,25040,42,104.857.143,Cliques no link,42,104.857.143,2026-07-29,2026-07-29
[JUL]_[SN]_Carrossel_Oferta,2026-07-29,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,38.81,15249,9772,288,13.475.694,Cliques no link,288,13.475.694,2026-07-29,2026-07-29
[JUL]_[N]_Card_Oferta,2026-07-28,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,46.2,38099,27154,48,9.625,Cliques no link,48,9.625,2026-07-28,2026-07-28
[JUL]_[SN]_Carrossel_Oferta,2026-07-28,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,40.85,15571,10112,278,14.694.245,Cliques no link,278,14.694.245,2026-07-28,2026-07-28
[JUL]_[N]_Vídeo_Ranger/Territory,2026-07-28,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,11.13,8584,8015,2,5.565,Cliques no link,2,5.565,2026-07-28,2026-07-28
[JUL]_[N]_Vt_Condição,2026-07-28,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,11.04,8465,6900,3,3.68,Cliques no link,3,3.68,2026-07-28,2026-07-28
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-28,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,5.53,4339,4339,4,1.3825,Cliques no link,4,1.3825,2026-07-28,2026-07-28
[JUL]_[N]_Vídeo_Ranger/Territory,2026-07-27,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,14.2,11261,10383,9,157.777.778,Cliques no link,9,157.777.778,2026-07-27,2026-07-27
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-27,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,6.92,5605,5553,8,865,Cliques no link,8,865,2026-07-27,2026-07-27
[JUL]_[N]_Vt_Condição,2026-07-27,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,16.94,13221,11290,2,8.47,Cliques no link,2,8.47,2026-07-27,2026-07-27
[JUL]_[N]_Card_Oferta,2026-07-27,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,65.85,54441,38671,69,95.434.783,Cliques no link,69,95.434.783,2026-07-27,2026-07-27
[JUL]_[SN]_Carrossel_Oferta,2026-07-27,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,40.33,16974,10959,303,13.310.231,Cliques no link,303,13.310.231,2026-07-27,2026-07-27
[JUL]_[N]_Vídeo_Ranger/Territory,2026-07-26,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,22.19,17364,15707,18,123.277.778,Cliques no link,18,123.277.778,2026-07-26,2026-07-26
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-26,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,11.39,8939,8939,10,1.139,Cliques no link,10,1.139,2026-07-26,2026-07-26
[JUL]_[N]_Vt_Condição,2026-07-26,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,33.42,25724,20655,8,4.1775,Cliques no link,8,4.1775,2026-07-26,2026-07-26
[JUL]_[N]_Card_Oferta,2026-07-26,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,111.89,90108,59505,93,120.311.828,Cliques no link,93,120.311.828,2026-07-26,2026-07-26
[JUL]_[SN]_Carrossel_Oferta,2026-07-26,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,49.28,24655,15501,366,13.464.481,Cliques no link,366,13.464.481,2026-07-26,2026-07-26
[JUL]_[N]_Card_Oferta,2026-07-25,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,171.69,128249,83319,136,126.242.647,Cliques no link,136,126.242.647,2026-07-25,2026-07-25
[JUL]_[SN]_Carrossel_Oferta,2026-07-25,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,64.97,32059,18749,461,14.093.275,Cliques no link,461,14.093.275,2026-07-25,2026-07-25
[JUL]_[N]_Vt_Condição,2026-07-25,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,48.16,34794,25674,4,12.04,Cliques no link,4,12.04,2026-07-25,2026-07-25
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-25,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,15.62,11365,11365,7,223.142.857,Cliques no link,7,223.142.857,2026-07-25,2026-07-25
[JUL]_[N]_Vídeo_Ranger/Territory,2026-07-25,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,31.51,23286,20765,13,242.384.615,Cliques no link,13,242.384.615,2026-07-25,2026-07-25
[JUL]_[N]_Vídeo_Ranger/Territory,2026-07-24,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,30.08,22627,21023,13,231.384.615,Cliques no link,13,231.384.615,2026-07-24,2026-07-24
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-24,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,14.85,10805,10533,8,185.625,Cliques no link,8,185.625,2026-07-24,2026-07-24
[JUL]_[N]_Vt_Condição,2026-07-24,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,44.07,31950,26358,4,11.0175,Cliques no link,4,11.0175,2026-07-24,2026-07-24
[JUL]_[N]_Card_Oferta,2026-07-24,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,128.34,96281,65706,109,117.743.119,Cliques no link,109,117.743.119,2026-07-24,2026-07-24
[JUL]_[SN]_Carrossel_Oferta,2026-07-24,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,60.9,24341,15277,387,15.736.434,Cliques no link,387,15.736.434,2026-07-24,2026-07-24
[JUL]_[N]_Vídeo_Ranger/Territory,2026-07-23,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,29.92,23270,20612,8,3.74,Cliques no link,8,3.74,2026-07-23,2026-07-23
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-23,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,14.63,11309,11001,5,2.926,Cliques no link,5,2.926,2026-07-23,2026-07-23
[JUL]_[N]_Vt_Condição,2026-07-23,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,43.86,32412,28645,4,10.965,Cliques no link,4,10.965,2026-07-23,2026-07-23
[JUL]_[SN]_Card_Condição,2026-07-23,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,0.42,443,443,1,0.42,Cliques no link,1,0.42,2026-07-23,2026-07-23
[JUL]_[N]_Card_Oferta,2026-07-23,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,1.51,1495,1390,2,755,Cliques no link,2,755,2026-07-23,2026-07-23
[JUL]_[SN]_Carrossel_Oferta,2026-07-23,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,59.56,22241,13716,368,16.184.783,Cliques no link,368,16.184.783,2026-07-23,2026-07-23
[JUL]_[N]_Vt_Condição,2026-07-22,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,33.81,25607,23233,2,16.905,Cliques no link,2,16.905,2026-07-22,2026-07-22
[JUL]_[SN]_Carrossel_Oferta,2026-07-22,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,46.68,19318,12875,267,17.483.146,Cliques no link,267,17.483.146,2026-07-22,2026-07-22
[JUL]_[N]_Card_Oferta,2026-07-22,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,174.21,139175,88548,135,129.044.444,Cliques no link,135,129.044.444,2026-07-22,2026-07-22
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-22,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,10.69,8319,8319,6,178.166.667,Cliques no link,6,178.166.667,2026-07-22,2026-07-22
[JUL]_[SN]_Card_Condição,2026-07-22,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,52.23,41572,38786,60,8.705,Cliques no link,60,8.705,2026-07-22,2026-07-22
[JUL]_[N]_Vídeo_Ranger/Territory,2026-07-22,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,21.4,17131,16752,16,1.3375,Cliques no link,16,1.3375,2026-07-22,2026-07-22
[JUL]_[N]_Vídeo_Ranger/Territory,2026-07-20,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,3.75,3075,2673,2,1.875,Cliques no link,2,1.875,2026-07-20,2026-07-20
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-20,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,02.05,1673,1673,1,02.05,Cliques no link,1,02.05,2026-07-20,2026-07-20
[JUL]_[N]_Vt_Condição,2026-07-20,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,5.91,4737,4474,,,,,,2026-07-20,2026-07-20
[JUL]_[SN]_Card_Condição,2026-07-20,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,5.71,4716,4716,1,5.71,Cliques no link,1,5.71,2026-07-20,2026-07-20
[JUL]_[N]_Card_Oferta,2026-07-20,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,20.59,17520,14890,16,1.286.875,Cliques no link,16,1.286.875,2026-07-20,2026-07-20
[JUL]_[SN]_Carrossel_Oferta,2026-07-20,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,6.16,2212,1723,39,15.794.872,Cliques no link,39,15.794.872,2026-07-20,2026-07-20
[JUL]_[SN]_Carrossel_Oferta,2026-07-19,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,48.73,19369,11802,306,15.924.837,Cliques no link,306,15.924.837,2026-07-19,2026-07-19
[JUL]_[N]_Vídeo_Ranger/Territory,2026-07-19,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,23.28,18739,17146,13,179.076.923,Cliques no link,13,179.076.923,2026-07-19,2026-07-19
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-19,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,12.11,9780,9606,3,403.666.667,Cliques no link,3,403.666.667,2026-07-19,2026-07-19
[JUL]_[N]_Vt_Condição,2026-07-19,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,34.18,26727,23163,3,1.139.333.333,Cliques no link,3,1.139.333.333,2026-07-19,2026-07-19
[JUL]_[SN]_Card_Condição,2026-07-19,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,34.23,27744,26533,14,2.445,Cliques no link,14,2.445,2026-07-19,2026-07-19
[JUL]_[N]_Card_Oferta,2026-07-19,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,114.26,94196,64033,114,10.022.807,Cliques no link,114,10.022.807,2026-07-19,2026-07-19
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-18,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,9.6,7236,7173,3,3.2,Cliques no link,3,3.2,2026-07-18,2026-07-18
[JUL]_[N]_Vídeo_Ranger/Territory,2026-07-18,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,18.32,13884,12434,9,203.555.556,Cliques no link,9,203.555.556,2026-07-18,2026-07-18
[JUL]_[N]_Vt_Condição,2026-07-18,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,33.74,24871,21532,1,33.74,Cliques no link,1,33.74,2026-07-18,2026-07-18
[JUL]_[SN]_Card_Condição,2026-07-18,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,33.63,25795,24813,23,146.217.391,Cliques no link,23,146.217.391,2026-07-18,2026-07-18
[JUL]_[N]_Card_Oferta,2026-07-18,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,111.04,86829,56966,109,10.187.156,Cliques no link,109,10.187.156,2026-07-18,2026-07-18
[JUL]_[SN]_Carrossel_Oferta,2026-07-18,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,40.23,15641,10073,247,16.287.449,Cliques no link,247,16.287.449,2026-07-18,2026-07-18
[JUL]_[SN]_Card_Condição,2026-07-17,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,26.52,20821,19997,17,1.56,Cliques no link,17,1.56,2026-07-17,2026-07-17
[JUL]_[SN]_Carrossel_Oferta,2026-07-17,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,37.89,13802,9246,226,16.765.487,Cliques no link,226,16.765.487,2026-07-17,2026-07-17
[JUL]_[N]_Card_Oferta,2026-07-17,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,91.86,70854,47773,78,117.769.231,Cliques no link,78,117.769.231,2026-07-17,2026-07-17
[JUL]_[N]_Vt_Condição,2026-07-17,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,28.98,21174,18434,2,14.49,Cliques no link,2,14.49,2026-07-17,2026-07-17
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-17,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,7.91,5956,5942,9,87.888.889,Cliques no link,9,87.888.889,2026-07-17,2026-07-17
[JUL]_[N]_Vídeo_Ranger/Territory,2026-07-17,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,7.6,5782,5168,3,253.333.333,Cliques no link,3,253.333.333,2026-07-17,2026-07-17
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-16,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,9.23,7721,7721,11,83.909.091,Cliques no link,11,83.909.091,2026-07-16,2026-07-16
[JUL]_[N]_Vt_Condição,2026-07-16,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,28.72,22195,19833,3,957.333.333,Cliques no link,3,957.333.333,2026-07-16,2026-07-16
[JUL]_[SN]_Card_Condição,2026-07-16,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,26.55,22861,21655,21,126.428.571,Cliques no link,21,126.428.571,2026-07-16,2026-07-16
[JUL]_[N]_Card_Oferta,2026-07-16,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,92.95,75751,53196,82,113.353.659,Cliques no link,82,113.353.659,2026-07-16,2026-07-16
[JUL]_[SN]_Carrossel_Oferta,2026-07-16,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,40.4,14905,9693,243,16.625.514,Cliques no link,243,16.625.514,2026-07-16,2026-07-16
[JUL]_[N]_Card_Oferta,2026-07-15,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,89.37,76088,56839,69,129.521.739,Cliques no link,69,129.521.739,2026-07-15,2026-07-15
[JUL]_[SN]_Carrossel_Oferta,2026-07-15,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,41.49,16648,10980,263,15.775.665,Cliques no link,263,15.775.665,2026-07-15,2026-07-15
[JUL]_[N]_Vt_Condição,2026-07-15,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,31.94,25830,24317,7,456.285.714,Cliques no link,7,456.285.714,2026-07-15,2026-07-15
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-15,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,9.92,8940,8938,7,141.714.286,Cliques no link,7,141.714.286,2026-07-15,2026-07-15
[JUL]_[SN]_Card_Condição,2026-07-15,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,28.34,26484,26308,30,94.466.667,Cliques no link,30,94.466.667,2026-07-15,2026-07-15
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-14,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,6.35,5262,5122,3,211.666.667,Cliques no link,3,211.666.667,2026-07-14,2026-07-14
[JUL]_[N]_Vt_Condição,2026-07-14,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,25.97,22207,21068,4,6.4925,Cliques no link,4,6.4925,2026-07-14,2026-07-14
[JUL]_[SN]_Card_Condição,2026-07-14,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,29.49,30005,29177,30,983,Cliques no link,30,983,2026-07-14,2026-07-14
[JUL]_[N]_Card_Oferta,2026-07-14,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,99.05,89030,68252,109,9.087.156,Cliques no link,109,9.087.156,2026-07-14,2026-07-14
[JUL]_[SN]_Carrossel_Oferta,2026-07-14,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,42.25,17601,11510,283,14.929.329,Cliques no link,283,14.929.329,2026-07-14,2026-07-14
[JUL]_[N]_Vt_Condição,2026-07-13,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,8.92,7829,7370,,,,,,2026-07-13,2026-07-13
[JUL]_[SN]_Card_Condição,2026-07-13,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,29.69,28475,27369,17,174.647.059,Cliques no link,17,174.647.059,2026-07-13,2026-07-13
[JUL]_[N]_Card_Oferta,2026-07-13,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,97.47,87212,61598,85,114.670.588,Cliques no link,85,114.670.588,2026-07-13,2026-07-13
[JUL]_[SN]_Carrossel_Oferta,2026-07-13,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,36.93,15941,10182,248,14.891.129,Cliques no link,248,14.891.129,2026-07-13,2026-07-13
[JUL]_[SN]_Carrossel_Oferta,2026-07-12,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,47.81,27637,15749,360,13.280.556,Cliques no link,360,13.280.556,2026-07-12,2026-07-12
[JUL]_[SN]_Card_Condição,2026-07-12,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,35.78,33240,32649,18,198.777.778,Cliques no link,18,198.777.778,2026-07-12,2026-07-12
[JUL]_[N]_Card_Oferta,2026-07-12,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,118.26,104178,73586,116,101.948.276,Cliques no link,116,101.948.276,2026-07-12,2026-07-12
[JUL]_[N]_Card_Oferta,2026-07-11,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,91.93,75320,52277,91,101.021.978,Cliques no link,91,101.021.978,2026-07-11,2026-07-11
[JUL]_[SN]_Carrossel_Oferta,2026-07-11,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,37.5,20420,12197,288,13.020.833,Cliques no link,288,13.020.833,2026-07-11,2026-07-11
[JUL]_[SN]_Card_Condição,2026-07-11,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,30.9,25519,23221,23,134.347.826,Cliques no link,23,134.347.826,2026-07-11,2026-07-11
[JUL]_[SN]_Card_Condição,2026-07-10,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,28.8,22802,20586,19,151.578.947,Cliques no link,19,151.578.947,2026-07-10,2026-07-10
[JUL]_[N]_Card_Oferta,2026-07-10,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,69.21,55576,39134,79,87.607.595,Cliques no link,79,87.607.595,2026-07-10,2026-07-10
[JUL]_[SN]_Carrossel_Oferta,2026-07-10,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,39.87,18287,11270,291,13.701.031,Cliques no link,291,13.701.031,2026-07-10,2026-07-10
[JUL]_[SN]_Card_Condição,2026-07-09,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,29.09,23268,20860,18,161.611.111,Cliques no link,18,161.611.111,2026-07-09,2026-07-09
[JUL]_[N]_Card_Oferta,2026-07-09,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,28.84,23804,17820,25,1.1536,Cliques no link,25,1.1536,2026-07-09,2026-07-09
[JUL]_[SN]_Carrossel_Oferta,2026-07-09,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,38.09,18673,12206,249,15.297.189,Cliques no link,249,15.297.189,2026-07-09,2026-07-09
[JUL]_[SN]_Card_Condição,2026-07-08,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,28.24,23029,21220,21,13.447.619,Cliques no link,21,13.447.619,2026-07-08,2026-07-08
[JUL]_[N]_Card_Oferta,2026-07-08,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,28.23,24561,19043,35,80.657.143,Cliques no link,35,80.657.143,2026-07-08,2026-07-08
[JUL]_[SN]_Carrossel_Oferta,2026-07-08,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,42.13,21508,13356,294,14.329.932,Cliques no link,294,14.329.932,2026-07-08,2026-07-08
[JUL]_[SN]_Card_Condição,2026-07-07,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,26.52,22763,20408,16,1.6575,Cliques no link,16,1.6575,2026-07-07,2026-07-07
[JUL]_[N]_Card_Oferta,2026-07-07,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,26.77,23145,18822,18,148.722.222,Cliques no link,18,148.722.222,2026-07-07,2026-07-07
[JUL]_[SN]_Carrossel_Oferta,2026-07-07,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,38.96,18194,11240,267,1.459.176,Cliques no link,267,1.459.176,2026-07-07,2026-07-07
[JUN]_[N]_Vídeo_Modelo,2026-07-06,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,17.16,3775,3085,69,24.869.565,Cliques no link,69,24.869.565,2026-07-06,2026-07-06
[JUL]_[SN]_Carrossel_Oferta,2026-07-06,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,41.68,19876,12756,306,13.620.915,Cliques no link,306,13.620.915,2026-07-06,2026-07-06
[JUL]_[N]_Card_Oferta,2026-07-06,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,30,28164,24968,38,78.947.368,Cliques no link,38,78.947.368,2026-07-06,2026-07-06
[JUL]_[SN]_Card_Condição,2026-07-06,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,30.21,27894,26161,30,1.007,Cliques no link,30,1.007,2026-07-06,2026-07-06
[JUL]_[SN]_Card_Condição,2026-07-05,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,36.24,31026,29185,24,1.51,Cliques no link,24,1.51,2026-07-05,2026-07-05
[JUL]_[N]_Card_Oferta,2026-07-05,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,36.2,31157,30612,42,86.190.476,Cliques no link,42,86.190.476,2026-07-05,2026-07-05
[JUN]_[N]_Vídeo_Modelo,2026-07-05,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,69.26,17175,10691,269,25.747.212,Cliques no link,269,25.747.212,2026-07-05,2026-07-05
[JUL]_[SN]_Carrossel_Oferta,2026-07-05,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,48.68,20040,12015,324,15.024.691,Cliques no link,324,15.024.691,2026-07-05,2026-07-05
[JUL]_[SN]_Card_Condição,2026-07-04,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,26.3,21790,20104,17,154.705.882,Cliques no link,17,154.705.882,2026-07-04,2026-07-04
[JUL]_[N]_Card_Oferta,2026-07-04,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,26.52,22242,20823,30,884,Cliques no link,30,884,2026-07-04,2026-07-04
[JUN]_[N]_Vídeo_Modelo,2026-07-04,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,55.41,12180,8142,203,27.295.567,Cliques no link,203,27.295.567,2026-07-04,2026-07-04
[JUL]_[SN]_Carrossel_Oferta,2026-07-04,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,40.21,15901,10389,244,16.479.508,Cliques no link,244,16.479.508,2026-07-04,2026-07-04
[JUL]_[SN]_Carrossel_Oferta,2026-07-03,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,37.5,15168,9570,238,15.756.303,Cliques no link,238,15.756.303,2026-07-03,2026-07-03
[JUL]_[SN]_Card_Condição,2026-07-03,completed,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,11.23,8675,8430,8,140.375,Cliques no link,8,140.375,2026-07-03,2026-07-03
[JUL]_[N]_Card_Oferta,2026-07-03,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,11.01,8726,8170,11,100.090.909,Cliques no link,11,100.090.909,2026-07-03,2026-07-03
[JUN]_[N]_Vídeo_Modelo,2026-07-03,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,56.97,12102,8351,210,27.128.571,Cliques no link,210,27.128.571,2026-07-03,2026-07-03
[JUL]_[SN]_Carrossel_Oferta,2026-07-02,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,40.19,17070,10397,297,13.531.987,Cliques no link,297,13.531.987,2026-07-02,2026-07-02
[JUN]_[N]_Vídeo_Modelo,2026-07-02,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,56.85,13526,8793,233,24.399.142,Cliques no link,233,24.399.142,2026-07-02,2026-07-02
[JUN]_[N]_Vídeo_Modelo,2026-07-01,inactive,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,60.02,13440,8984,227,26.440.529,Cliques no link,227,26.440.529,2026-07-01,2026-07-01
[JUL]_[SN]_Carrossel_Oferta,2026-07-01,active,campaign,AUTOPLUS [FORD] CONCÓRDIA,171365955111522,41.82,17838,10925,314,13.318.471,Cliques no link,314,13.318.471,2026-07-01,2026-07-01
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-31,active,campaign,AUTOPLUS [FORD] JARAGUÁ DO SUL,189310040817079,4.2,242,228,1,4.2,,,,2026-07-31,2026-07-31
[JUL]_[N]_Vt_Condição,2026-07-31,inactive,campaign,AUTOPLUS [FORD] JARAGUÁ DO SUL,189310040817079,15.05,303,241,9,167.222.222,Conversas por mensagem iniciadas,2,7.525,2026-07-31,2026-07-31
[JUL]_[N]_Card_Oferta,2026-07-31,active,campaign,AUTOPLUS [FORD] JARAGUÁ DO SUL,189310040817079,38.71,2923,2029,32,12.096.875,Conversas por mensagem iniciadas,3,1.290.333.333,2026-07-31,2026-07-31
