Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios,Resultados (iniciais)
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-18,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,47.14,5951,4248,54,0.87296296,Conversas por mensagem iniciadas,3,15.71333333,2026-08-18,2026-08-18,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-18,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,46.1,4023,2573,67,0.6880597,Conversas por mensagem iniciadas,6,7.68333333,2026-08-18,2026-08-18,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-18,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,23.04,579,484,16,1.44,,,,2026-08-18,2026-08-18,
[AGO]_[SN]_Card_Condição - Lote,2026-08-18,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,25.19,1069,887,7,3.59857143,Conversas por mensagem iniciadas,1,25.19,2026-08-18,2026-08-18,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-18,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,13.22,971,832,4,3.305,,,,2026-08-18,2026-08-18,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-17,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,3.35,212,202,1,3.35,,,,2026-08-17,2026-08-17,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-17,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,22.28,605,527,19,1.17263158,Conversas por mensagem iniciadas,2,11.14,2026-08-17,2026-08-17,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-17,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,9.23,750,654,15,0.61533333,Conversas por mensagem iniciadas,4,2.3075,2026-08-17,2026-08-17,
[AGO]_[SN]_Card_Condição - Lote,2026-08-17,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,25.6,1285,1023,18,1.42222222,Conversas por mensagem iniciadas,2,12.8,2026-08-17,2026-08-17,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-17,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,40.27,4895,3507,34,1.18441176,Conversas por mensagem iniciadas,3,13.42333333,2026-08-17,2026-08-17,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-17,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,39.83,3438,2351,63,0.63222222,Conversas por mensagem iniciadas,4,9.9575,2026-08-17,2026-08-17,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-16,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,21.78,761,596,19,1.14631579,Conversas por mensagem iniciadas,1,21.78,2026-08-16,2026-08-16,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-16,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,13.79,1060,861,13,1.06076923,Conversas por mensagem iniciadas,2,6.895,2026-08-16,2026-08-16,
[AGO]_[SN]_Card_Condição - Lote,2026-08-16,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,23.35,1201,972,3,7.78333333,,,,2026-08-16,2026-08-16,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-16,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,43.2,4782,3513,48,0.9,Conversas por mensagem iniciadas,2,21.6,2026-08-16,2026-08-16,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-16,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,6.73,462,433,6,1.12166667,Conversas por mensagem iniciadas,1,6.73,2026-08-16,2026-08-16,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-16,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,41.99,4509,2847,73,0.57520548,Conversas por mensagem iniciadas,5,8.398,2026-08-16,2026-08-16,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-15,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,2.5,235,220,2,1.25,,,,2026-08-15,2026-08-15,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-15,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,25.13,2535,1746,33,0.76151515,,,,2026-08-15,2026-08-15,
